2014-2015 Award Year Campus-Based Program Data by School,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,, FEDERAL WORK-STUDY ,,, PERKINS LOAN ,,, FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS ,,
00102100, Jefferson Davis Community College, AL,364272790, Public,14," $29,857.00 "," $19,423.00 ",0, $-   , $-   ,46," $28,106.00 "," $32,306.00 "
00102200, Jefferson State Community College, AL,352153098, Public,118," $377,380.00 "," $364,091.00 ",0, $-   , $-   ,636," $336,833.00 "," $319,595.00 "
00102300, Judson College, AL,367562504, Private/Non-Profit,61," $48,153.00 "," $64,204.00 ",12, $-   ," $31,455.00 ",26," $16,238.00 "," $21,650.00 "
00102400, University of West Alabama, AL,354700000, Public,171," $362,374.00 "," $443,199.00 ",32, $-   ," $126,352.00 ",183," $88,687.00 "," $145,678.00 "
00102600, Marion Military Institute, AL,367563214, Public,29," $20,000.00 "," $20,008.00 ",0, $-   , $-   ,35," $14,370.00 "," $14,370.00 "
00102800, Miles College, AL,350642697, Private/Non-Profit,273," $322,846.00 "," $214,652.00 ",0, $-   , $-   ,443," $300,208.00 "," $380,908.00 "
00102900, University of Mobile, AL,366630220, Private/Non-Profit,110," $111,910.00 "," $138,937.00 ",12, $-   ," $42,000.00 ",64," $87,677.00 "," $109,511.00 "
00103000, Bishop State Community College, AL,366035898, Public,97," $208,214.00 "," $174,230.00 ",0, $-   , $-   ,227," $127,842.00 "," $121,749.00 "
00103100, Northeast Alabama Community College, AL,359860159, Public,58," $83,381.00 "," $116,431.00 ",0, $-   , $-   ,147," $75,092.00 "," $98,525.00 "
00103300, Oakwood University, AL,358960001, Private/Non-Profit,78," $226,411.00 "," $205,769.00 ",0, $-   , $-   ,200," $278,941.00 "," $293,235.00 "
00103400, Alabama Southern Community College, AL,364605698, Public,28," $36,888.00 "," $36,888.00 ",0, $-   , $-   ,77," $35,507.00 "," $32,060.00 "
00103600, Samford University, AL,352297000, Private/Non-Profit,290," $502,429.00 "," $381,753.00 ",268, $-   ," $782,300.00 ",274," $91,312.00 "," $268,100.00 "
00103800, Snead State Community College, AL,359570734, Public,42," $64,780.00 "," $78,097.00 ",0, $-   , $-   ,54," $56,673.00 "," $38,992.00 "
00104000, Southern Union State Community College, AL,362760000, Public,91," $117,066.00 "," $101,457.00 ",0, $-   , $-   ,144," $109,218.00 "," $114,052.00 "
00104100, Spring Hill College, AL,366081791, Private/Non-Profit,230," $111,372.00 "," $223,800.00 ",158, $-   ," $221,726.00 ",325," $105,992.00 "," $141,323.00 "
00104400, Stillman College, AL,354011430, Private/Non-Profit,139," $213,000.00 "," $162,675.00 ",0, $-   , $-   ,371," $323,189.00 "," $349,672.00 "
00104600, Talladega College, AL,351602354, Private/Non-Profit,110," $162,608.00 "," $144,746.00 ",0, $-   , $-   ,195," $321,995.00 "," $337,656.00 "
00104700, Troy University, AL,360820001, Public,393," $1,104,757.00 "," $815,890.00 ",34, $-   ," $152,178.00 ",439," $747,586.00 "," $949,772.00 "
00105000, Tuskegee University, AL,360881645, Private/Non-Profit,586," $1,009,296.00 "," $947,812.00 ",431, $-   ," $1,643,625.00 ",531," $1,157,061.00 "," $1,282,739.00 "
00105100, University of Alabama, AL,354870120, Public,706," $1,472,805.00 "," $1,355,621.00 ",641, $-   ," $1,775,758.00 ",1062," $675,598.00 "," $1,136,751.00 "
00105200, University of Alabama at Birmingham, AL,352941150, Public,497," $1,260,458.00 "," $1,276,038.00 ",686, $-   ," $1,921,821.00 ",602," $680,615.00 "," $784,650.00 "
00105500, University of Alabama in Huntsville, AL,358990001, Public,78," $171,847.00 "," $202,224.00 ",0, $-   , $-   ,128," $134,919.00 "," $195,585.00 "
00105700, University of South Alabama, AL,366880002, Public,121," $500,000.00 "," $329,675.00 ",107, $-   ," $642,000.00 ",1166," $318,105.00 "," $590,807.00 "
00105900, Lawson State Community College, AL,352211798, Public,157," $249,714.00 "," $247,963.00 ",0, $-   , $-   ,246," $101,498.00 "," $114,968.00 "
00106000, James H. Faulkner State Community College, AL,365072698, Public,122," $145,674.00 "," $144,941.00 ",0, $-   , $-   ,167," $94,129.00 "," $89,900.00 "
00106100, Alaska Pacific University, AK,995084672, Private/Non-Profit,34," $42,560.00 "," $55,982.00 ",0, $-   , $-   ,69," $29,868.00 "," $33,600.00 "
00106300, University of Alaska Fairbanks, AK,997757500, Public,54," $348,116.00 "," $391,855.00 ",0, $-   , $-   ,500," $250,843.00 "," $316,693.00 "
00106500, University of Alaska Southeast, AK,998018680, Public,15," $36,473.00 "," $31,927.00 ",0, $-   , $-   ,111," $27,403.00 "," $33,549.00 "
00107000, Thunderbird School of Global Management, AZ,853066000, Private/Non-Profit,14," $30,122.00 "," $8,884.00 ",91, $-   ," $476,000.00 ",0, $-   , $-   
00107100, Arizona Western College, AZ,853658847, Public,147," $310,622.00 "," $355,893.00 ",0, $-   , $-   ,1985," $313,493.00 "," $391,557.00 "
00107200, Cochise College, AZ,856076190, Public,69," $83,167.00 "," $83,148.00 ",0, $-   , $-   ,105," $72,917.00 "," $72,917.00 "
00107300, Eastern Arizona College, AZ,855520769, Public,156," $231,260.00 "," $220,866.00 ",0, $-   , $-   ,164," $103,578.00 "," $103,578.00 "
00107400, Grand Canyon University, AZ,850173030, Proprietary,372," $1,000,000.00 "," $959,797.00 ",230, $-   ," $694,464.00 ",1520," $1,000,000.00 "," $1,656,147.00 "
00107600, Glendale Community College, AZ,853023090, Public,109," $438,309.00 "," $205,502.00 ",0, $-   , $-   ,1192," $568,976.00 "," $916,210.00 "
00107700, Mesa Community College, AZ,852024866, Public,224," $628,170.00 "," $580,713.00 ",0, $-   , $-   ,1245," $645,150.00 "," $1,011,837.00 "
00107800, Phoenix College, AZ,850134234, Public,152," $422,205.00 "," $465,133.00 ",0, $-   , $-   ,634," $340,217.00 "," $446,745.00 "
00107900, Yavapai College, AZ,863013297, Public,83," $125,960.00 "," $166,621.00 ",2, $-   ," $1,000.00 ",106," $114,717.00 "," $152,956.00 "
00108100, Arizona State University, AZ,852870412, Public,1747," $3,324,965.00 "," $3,757,809.00 ",668, $-   ," $1,876,253.00 ",2840," $2,679,920.00 "," $3,532,961.00 "
00108200, Northern Arizona University, AZ,860110001, Public,416," $834,798.00 "," $740,026.00 ",366, $-   ," $827,700.00 ",1032," $613,277.00 "," $1,039,103.00 "
00108300, University of Arizona (The), AZ,857210066, Public,1045," $1,973,256.00 "," $2,783,604.00 ",429, $-   ," $1,386,508.00 ",382," $949,606.00 "," $659,887.00 "
00108500, University of Arkansas at Monticello, AR,716560000, Public,140," $207,112.00 "," $211,984.00 ",0, $-   , $-   ,196," $133,647.00 "," $140,688.00 "
00108600, University of Arkansas at Pine Bluff, AR,716012790, Public,206," $327,207.00 "," $292,920.00 ",0, $-   , $-   ,358," $327,207.00 "," $323,482.00 "
00108700, Arkansas Baptist College, AR,722026099, Private/Non-Profit,31," $54,075.00 "," $54,075.00 ",0, $-   , $-   ,39," $57,491.00 "," $52,614.00 "
00108800, Lyon College, AR,725013699, Private/Non-Profit,124," $95,385.00 "," $94,431.00 ",37, $-   ," $115,900.00 ",47," $43,967.00 "," $43,967.00 "
00108900, Arkansas Tech University, AR,728012222, Public,163," $270,244.00 "," $277,578.00 ",56, $-   ," $184,300.00 ",928," $243,090.00 "," $317,246.00 "
00109000, Arkansas State University, AR,724010000, Public,181," $587,659.00 "," $444,478.00 ",466, $-   ," $1,073,043.00 ",396," $359,804.00 "," $313,589.00 "
00109100, Arkansas State University - Beebe, AR,720121000, Public,67," $109,857.00 "," $85,445.00 ",0, $-   , $-   ,299," $122,709.00 "," $132,709.00 "
00109200, University of Central Arkansas, AR,720350001, Public,401," $610,072.00 "," $634,118.00 ",321, $-   ," $1,194,424.00 ",282," $237,279.00 "," $235,476.00 "
00109300, Central Baptist College, AR,720346470, Private/Non-Profit,29," $31,515.00 "," $40,504.00 ",0, $-   , $-   ,205," $31,440.00 "," $41,920.00 "
00109400, University of the Ozarks, AR,728302880, Private/Non-Profit,167," $81,948.00 "," $99,696.00 ",0, $-   , $-   ,38," $37,393.00 "," $49,857.00 "
00109500, Crowley's Ridge College, AR,724509775, Private/Non-Profit,16," $12,222.00 "," $12,236.00 ",0, $-   , $-   ,13," $6,205.00 "," $6,205.00 "
00109700, Harding University, AR,721490001, Private/Non-Profit,564," $411,802.00 "," $570,568.00 ",473, $-   ," $1,135,401.00 ",311," $123,995.00 "," $187,334.00 "
00109800, Henderson State University, AR,719990001, Public,120," $234,243.00 "," $238,534.00 ",49, $-   ," $177,877.00 ",139," $116,878.00 "," $116,878.00 "
00109900, Hendrix College, AR,720323080, Private/Non-Profit,253," $147,637.00 "," $283,552.00 ",87, $-   ," $116,750.00 ",157," $110,992.00 "," $147,989.00 "
00110000, John Brown University, AR,727612747, Private/Non-Profit,153," $149,454.00 "," $197,433.00 ",83, $-   ," $253,504.00 ",205," $87,116.00 "," $116,048.00 "
00110100, University of Arkansas at Little Rock, AR,722041099, Public,196," $448,963.00 "," $390,717.00 ",0, $-   , $-   ,598," $265,157.00 "," $314,603.00 "
00110200, Ouachita Baptist University, AR,719980001, Private/Non-Profit,330," $338,488.00 "," $499,492.00 ",26, $-   ," $125,446.00 ",73," $67,824.00 "," $90,432.00 "
00110300, Philander Smith College, AR,722023718, Private/Non-Profit,77," $141,682.00 "," $131,963.00 ",0, $-   , $-   ,74," $41,955.00 "," $51,674.00 "
00110400, Phillips Community College of the University of Arkansas, AR,723420000, Public,73," $99,987.00 "," $97,420.00 ",0, $-   , $-   ,178," $57,532.00 "," $57,532.00 "
00110500, Shorter College, AR,721144885, Private/Non-Profit,0," $8,071.00 ", $-   ,0, $-   , $-   ,0," $8,862.00 ", $-   
00110600, Williams Baptist College, AR,724764661, Private/Non-Profit,187," $196,097.00 "," $241,954.00 ",0, $-   , $-   ,155," $53,348.00 "," $75,000.00 "
00110700, Southern Arkansas University, AR,717535000, Public,519," $473,956.00 "," $840,460.00 ",38, $-   ," $94,519.00 ",60," $92,523.00 "," $92,523.00 "
00110800, University of Arkansas, AR,727010000, Public,585," $1,021,761.00 "," $1,139,023.00 ",817, $-   ," $2,268,444.00 ",1021," $937,253.00 "," $1,197,340.00 "
00110900, University of Arkansas for Medical Sciences, AR,722057102, Public,0, $-   , $-   ,34, $-   ," $201,583.00 ",13," $22,693.00 "," $30,258.00 "
00111000, University of Arkansas at Fort Smith, AR,729047397, Public,102," $185,996.00 "," $204,634.00 ",0, $-   , $-   ,650," $177,500.00 "," $177,800.00 "
00111100, Allan Hancock College, CA,934546399, Public,63," $169,129.00 "," $155,354.00 ",0, $-   , $-   ,436," $173,630.00 "," $171,450.00 "
00111300, Antelope Valley College, CA,935365426, Public,91," $304,100.00 "," $390,038.00 ",0, $-   , $-   ,487," $328,081.00 "," $329,625.00 "
00111600, Art Center College of Design, CA,911031999, Private/Non-Profit,277," $199,376.00 "," $265,836.00 ",21, $-   ," $97,896.00 ",366," $184,066.00 "," $242,593.00 "
00111700, Azusa Pacific University, CA,917027000, Private/Non-Profit,1364," $1,027,475.00 "," $1,284,343.00 ",259, $-   ," $1,267,257.00 ",433," $490,512.00 "," $613,140.00 "
00111800, Bakersfield College, CA,933051299, Public,226," $487,355.00 "," $481,714.00 ",0, $-   , $-   ,1949," $525,002.00 "," $524,638.00 "
00111900, Barstow Community College, CA,923116608, Public,26," $92,854.00 "," $95,204.00 ",0, $-   , $-   ,240," $88,702.00 "," $103,067.00 "
00112200, Biola University, CA,906390001, Private/Non-Profit,375," $453,755.00 "," $532,303.00 ",249, $-   ," $480,500.00 ",527," $313,251.00 "," $402,802.00 "
00112300, Brooks Institute, CA,930011023, Proprietary,53," $47,811.00 "," $76,792.00 ",0, $-   , $-   ,39," $48,374.00 "," $47,733.00 "
00112400, Cabrillo College, CA,950033194, Public,63," $255,800.00 "," $256,317.00 ",0, $-   , $-   ,866," $288,926.00 "," $396,267.00 "
00112500, California Baptist University, CA,925043297, Private/Non-Profit,288," $450,000.00 "," $321,429.00 ",51, $-   ," $106,000.00 ",485," $319,833.00 "," $406,786.00 "
00112700, California College of the Arts, CA,941072206, Private/Non-Profit,393," $267,897.00 "," $935,980.00 ",51, $-   ," $105,701.00 ",107," $156,814.00 "," $209,085.00 "
00113100, California Institute of Technology, CA,911250001, Private/Non-Profit,202," $550,786.00 "," $451,717.00 ",180, $-   ," $834,425.00 ",110," $186,294.00 "," $431,988.00 "
00113200, California Institute of the Arts, CA,913552397, Private/Non-Profit,242," $280,290.00 "," $352,032.00 ",334, $-   ," $1,020,850.00 ",113," $139,285.00 "," $174,785.00 "
00113300, California Lutheran University, CA,913602787, Private/Non-Profit,223," $341,104.00 "," $454,805.00 ",73, $-   ," $242,000.00 ",246," $209,040.00 "," $278,720.00 "
00113400, California Maritime Academy, CA,945908181, Public,26," $25,113.00 "," $28,701.00 ",194, $-   ," $409,174.00 ",115," $66,930.00 "," $89,280.00 "
00113700," California State University, Fullerton", CA,928313599, Public,265," $1,050,284.00 "," $959,168.00 ",473, $-   ," $930,654.00 ",1390," $764,202.00 "," $1,291,198.00 "
00113800," California State University, East Bay", CA,945423000, Public,367," $642,761.00 "," $638,603.00 ",212, $-   ," $502,611.00 ",651," $470,106.00 "," $748,660.00 "
00113900," California State University, Long Beach", CA,908400006, Public,598," $1,235,387.00 "," $1,310,533.00 ",1248, $-   ," $1,741,948.00 ",2886," $858,205.00 "," $1,097,025.00 "
00114000," California State University, Los Angeles", CA,900324226, Public,301," $972,901.00 "," $958,575.00 ",7, $-   ," $21,403.00 ",761," $782,182.00 "," $803,518.00 "
00114100," California State University, Dominguez Hills", CA,907470001, Public,217," $594,035.00 "," $703,592.00 ",265, $-   ," $369,773.00 ",641," $457,362.00 "," $579,325.00 "
00114200," California State University, San Bernardino", CA,924072397, Public,319," $743,788.00 "," $1,066,711.00 ",64, $-   ," $288,578.00 ",592," $513,902.00 "," $565,756.00 "
00114300, California Polytechnic State University, CA,934070001, Public,283," $470,586.00 "," $480,020.00 ",228, $-   ," $636,445.00 ",1730," $816,370.00 "," $1,027,773.00 "
00114400," California State Polytechnic University, Pomona", CA,917682500, Public,248," $770,375.00 "," $528,004.00 ",285, $-   ," $961,572.00 ",1720," $708,855.00 "," $1,196,852.00 "
00114600," California State University, Chico", CA,959290001, Public,725," $854,462.00 "," $1,852,786.00 ",299, $-   ," $619,651.00 ",877," $706,078.00 "," $941,437.00 "
00114700," California State University, Fresno", CA,937408026, Public,227," $836,516.00 "," $831,849.00 ",83, $-   ," $282,450.00 ",3049," $595,185.00 "," $575,699.00 "
00114900, Humboldt State University, CA,955218299, Public,317," $581,224.00 "," $586,631.00 ",103, $-   ," $344,241.00 ",265," $269,118.00 "," $354,500.00 "
00115000, California State University - Sacramento, CA,958196044, Public,452," $965,954.00 "," $1,073,870.00 ",245, $-   ," $1,064,821.00 ",914," $807,612.00 "," $1,032,772.00 "
00115100, San Diego State University, CA,921821690, Public,677," $1,054,544.00 "," $1,475,037.00 ",207, $-   ," $1,083,027.00 ",604," $697,586.00 "," $922,117.00 "
00115300," California State University, Northridge", CA,913308307, Public,472," $1,446,738.00 "," $1,292,821.00 ",22, $-   ," $86,724.00 ",1941," $954,955.00 "," $1,223,900.00 "
00115400, San Francisco State University, CA,941321740, Public,693," $1,461,496.00 "," $1,691,879.00 ",1558, $-   ," $1,606,818.00 ",2069," $870,977.00 "," $1,132,079.00 "
00115500, San Jose State University, CA,951920036, Public,483," $1,287,455.00 "," $1,617,445.00 ",404, $-   ," $1,159,834.00 ",2056," $1,028,772.00 "," $1,381,696.00 "
00115600, Sonoma State University, CA,949283609, Public,213," $406,004.00 "," $460,303.00 ",79, $-   ," $218,519.00 ",238," $199,629.00 "," $266,172.00 "
00115700," California State University, Stanislaus", CA,953820299, Public,162," $373,425.00 "," $488,536.00 ",57, $-   ," $181,056.00 ",475," $234,851.00 "," $223,456.00 "
00116100, Cerritos Community College, CA,906506296, Public,115," $440,748.00 "," $379,760.00 ",0, $-   , $-   ,1983," $495,605.00 "," $512,005.00 "
00116200, Chabot College, CA,945452400, Public,33," $200,000.00 "," $112,053.00 ",0, $-   , $-   ,736," $200,000.00 "," $231,461.00 "
00116300, Chaffey Community College, CA,917379400, Public,238," $500,000.00 "," $597,525.00 ",0, $-   , $-   ,557," $500,000.00 "," $365,400.00 "
00116400, Chapman University, CA,928661099, Private/Non-Profit,1164," $882,446.00 "," $1,994,855.00 ",351, $-   ," $653,677.00 ",110," $441,824.00 "," $430,187.00 "
00116500, Church Divinity School of the Pacific, CA,947091217, Private/Non-Profit,9," $14,915.00 "," $17,381.00 ",0, $-   , $-   ,0, $-   , $-   
00116600, Citrus Community College, CA,917411899, Public,78," $219,819.00 "," $251,008.00 ",0, $-   , $-   ,664," $245,458.00 "," $233,770.00 "
00116900, Claremont Graduate University, CA,917116163, Private/Non-Profit,97," $353,786.00 "," $472,796.00 ",14, $-   ," $83,500.00 ",0, $-   , $-   
00117000, Claremont McKenna College, CA,917116400, Private/Non-Profit,210," $115,855.00 "," $233,088.00 ",56, $-   ," $159,318.00 ",104," $155,353.00 "," $147,500.00 "
00117100, Harvey Mudd College, CA,917115990, Private/Non-Profit,139," $69,700.00 "," $86,388.00 ",97, $-   ," $438,890.00 ",87," $122,804.00 "," $163,739.00 "
00117200, Pitzer College, CA,917116101, Private/Non-Profit,285," $173,463.00 "," $524,782.00 ",51, $-   ," $87,055.00 ",59," $173,351.00 "," $231,135.00 "
00117300, Pomona College, CA,917116301, Private/Non-Profit,158," $239,683.00 "," $239,684.00 ",109, $-   ," $356,964.00 ",245," $287,880.00 "," $463,734.00 "
00117400, Scripps College, CA,917113948, Private/Non-Profit,136," $164,327.00 "," $219,104.00 ",21, $-   ," $52,566.00 ",53," $130,443.00 "," $173,924.00 "
00117600, West Hills Community College, CA,932101399, Public,82," $59,130.00 "," $113,587.00 ",0, $-   , $-   ,195," $70,743.00 "," $67,167.00 "
00117700, Cogswell Polytechnical College, CA,940891210, Proprietary,13," $25,729.00 "," $34,305.00 ",0, $-   , $-   ,63," $21,721.00 "," $28,961.00 "
00117800, College of Marin, CA,949042590, Public,68," $249,924.00 "," $228,462.00 ",0, $-   , $-   ,691," $165,580.00 "," $299,900.00 "
00117900, Notre Dame de Namur University, CA,940021997, Private/Non-Profit,73," $153,419.00 "," $153,419.00 ",113, $-   ," $115,500.00 ",100," $96,391.00 "," $96,391.00 "
00118100, College of San Mateo, CA,944023784, Public,50," $106,385.00 "," $151,931.00 ",0, $-   , $-   ,474," $206,002.00 "," $268,067.00 "
00118200, College of the Desert, CA,922609305, Public,81," $188,899.00 "," $164,772.00 ",0, $-   , $-   ,261," $196,314.00 "," $185,583.00 "
00118300, Holy Names University, CA,946191699, Private/Non-Profit,78," $138,226.00 "," $138,226.00 ",7, $-   ," $32,500.00 ",107," $97,602.00 "," $101,500.00 "
00118500, College of the Redwoods, CA,955019300, Public,134," $182,531.00 "," $174,872.00 ",0, $-   , $-   ,334," $157,950.00 "," $185,200.00 "
00118600, College of the Sequoias, CA,932772234, Public,108," $289,333.00 "," $280,221.00 ",0, $-   , $-   ,617," $273,380.00 "," $259,711.00 "
00118700, College of the Siskiyous, CA,960942899, Public,67," $51,191.00 "," $68,237.00 ",0, $-   , $-   ,132," $47,384.00 "," $47,384.00 "
00119000, Contra Costa College, CA,948063195, Public,50," $133,343.00 "," $114,128.00 ",0, $-   , $-   ,533," $182,395.00 "," $215,730.00 "
00119100, Diablo Valley College, CA,945231544, Public,99," $197,297.00 "," $195,090.00 ",0, $-   , $-   ,591," $226,844.00 "," $335,085.00 "
00119200, Cuesta College, CA,934038106, Public,43," $114,236.00 "," $108,261.00 ",0, $-   , $-   ,273," $126,228.00 "," $97,066.00 "
00119300, Cypress College, CA,906305897, Public,94," $261,517.00 "," $246,768.00 ",0, $-   , $-   ,656," $279,484.00 "," $350,000.00 "
00119600, Dominican University of California, CA,949012298, Private/Non-Profit,227," $202,153.00 "," $362,225.00 ",23, $-   ," $56,290.00 ",114," $150,666.00 "," $200,888.00 "
00119700, El Camino College, CA,905060002, Public,305," $702,645.00 "," $777,555.00 ",0, $-   , $-   ,1730," $751,910.00 "," $787,870.00 "
00119900, Foothill College, CA,940224597, Public,60," $150,959.00 "," $156,346.00 ",0, $-   , $-   ,286," $129,665.00 "," $187,200.00 "
00120000, Fuller Theological Seminary, CA,911820002, Private/Non-Profit,55," $192,826.00 "," $263,887.00 ",24, $-   ," $118,750.00 ",0, $-   , $-   
00120100, Fullerton College, CA,928322095, Public,80," $300,000.00 "," $233,308.00 ",0, $-   , $-   ,459," $300,000.00 "," $382,500.00 "
00120200, Gavilan College, CA,950209599, Public,47," $91,587.00 "," $99,257.00 ",0, $-   , $-   ,374," $74,729.00 "," $66,391.00 "
00120300, Glendale Community College, CA,912082894, Public,211," $368,421.00 "," $447,296.00 ",0, $-   , $-   ,519," $342,978.00 "," $285,333.00 "
00120500, Golden Gate University, CA,941052967, Private/Non-Profit,62," $347,639.00 "," $269,368.00 ",57, $-   ," $218,462.00 ",147," $54,026.00 "," $176,000.00 "
00120700, Graduate Theological Union, CA,947091212, Private/Non-Profit,22," $62,569.00 "," $72,363.00 ",14, $-   ," $51,000.00 ",0, $-   , $-   
00120800, Grossmont College, CA,920201799, Public,116," $315,895.00 "," $270,595.00 ",0, $-   , $-   ,951," $330,673.00 "," $499,400.00 "
00120900, Hartnell Community College, CA,939011697, Public,69," $164,129.00 "," $201,181.00 ",0, $-   , $-   ,937," $176,870.00 "," $159,800.00 "
00121200, Humphreys College, CA,952073896, Private/Non-Profit,16," $49,800.00 "," $70,768.00 ",0, $-   , $-   ,60," $53,318.00 "," $64,500.00 "
00121400, Imperial Valley College, CA,922519787, Public,138," $385,789.00 "," $429,672.00 ",0, $-   , $-   ,1036," $240,374.00 "," $265,526.00 "
00121500, La Sierra University, CA,925153332, Private/Non-Profit,233," $300,437.00 "," $403,944.00 ",455, $-   ," $1,362,702.00 ",344," $215,129.00 "," $258,870.00 "
00121600, University of La Verne, CA,917504443, Private/Non-Profit,346," $646,586.00 "," $707,049.00 ",525, $-   ," $439,792.00 ",313," $328,036.00 "," $404,627.00 "
00121700, Lassen College, CA,961303000, Public,119," $319,818.00 "," $259,517.00 ",0, $-   , $-   ,201," $68,942.00 "," $102,300.00 "
00121800, Loma Linda University, CA,923500001, Private/Non-Profit,250," $1,037,997.00 "," $731,713.00 ",486, $-   ," $1,499,425.00 ",413," $63,570.00 "," $430,759.00 "
00121900, Long Beach City College, CA,908081780, Public,200," $656,694.00 "," $668,848.00 ",2, $-   ," $9,000.00 ",1822," $697,107.00 "," $849,770.00 "
00122000, Master's College & Seminary (The), CA,913211200, Private/Non-Profit,59," $95,000.00 "," $159,430.00 ",30, $-   ," $78,000.00 ",99," $69,962.00 "," $87,453.00 "
00122300, Los Angeles City College, CA,900293588, Public,125," $377,098.00 "," $348,695.00 ",15, $-   ," $34,100.00 ",1056," $400,560.00 "," $380,000.00 "
00122400, Los Angeles Harbor College, CA,907442397, Public,69," $163,389.00 "," $225,487.00 ",8, $-   ," $26,070.00 ",431," $162,524.00 "," $150,936.00 "
00122600, Los Angeles Pierce College, CA,913710001, Public,93," $343,813.00 "," $321,914.00 ",0, $-   , $-   ,988," $355,679.00 "," $331,464.00 "
00122700, Los Angeles Trade-Technical College, CA,900154181, Public,125," $297,681.00 "," $299,756.00 ",4, $-   ," $5,400.00 ",809," $371,707.00 "," $354,500.00 "
00122800, Los Angeles Valley College, CA,914014096, Public,92," $293,594.00 "," $282,803.00 ",14, $-   ," $36,000.00 ",684," $308,487.00 "," $294,033.00 "
00122900, Southern California University of Health Sciences, CA,906044051, Private/Non-Profit,134," $210,865.00 "," $257,634.00 ",0, $-   , $-   ,0, $-   , $-   
00123000, Marshall B. Ketchum University, CA,928311699, Private/Non-Profit,198," $140,472.00 "," $182,240.00 ",300, $-   ," $666,750.00 ",0, $-   , $-   
00123200, American River College, CA,958414286, Public,613," $1,476,939.00 "," $2,085,832.00 ",0, $-   , $-   ,4006," $1,827,703.00 "," $2,019,875.00 "
00123300, Sacramento City College, CA,958221386, Public,0, $-   , $-   ,0, $-   , $-   ,0, $-   , $-   
00123600, Menlo College, CA,940274301, Private/Non-Profit,74," $63,871.00 "," $91,487.00 ",0, $-   , $-   ,72," $53,651.00 "," $67,034.00 "
00123700, Merced Community College, CA,953482898, Public,501," $464,548.00 "," $1,036,273.00 ",0, $-   , $-   ,564," $404,304.00 "," $344,948.00 "
00123800, Mills College, CA,946131301, Private/Non-Profit,175," $248,766.00 "," $321,473.00 ",127, $-   ," $161,500.00 ",191," $130,280.00 "," $173,706.00 "
00123900, MiraCosta College, CA,920563899, Public,71," $200,000.00 "," $222,256.00 ",0, $-   , $-   ,699," $232,582.00 "," $305,000.00 "
00124000, Modesto Junior College, CA,953505800, Public,222," $513,794.00 "," $802,270.00 ",0, $-   , $-   ,453," $577,541.00 "," $529,801.00 "
